words,itemnum,condition,word01,word02,word03,word04,word05,word06,word07,word08,word09,word10,word11,word12,word13,word14,word15,word16,group,critical_word,critical_word_pos,Sentence,RemovalType,WordsKept,WordsRemoved,ListNumber,Code
The factory built expensive machines to filter the air outside the building.,1,MC,The,factory,built,expensive,machines,to,filter,the,air,outside,the,building.,,,,,176,air,9,The factory built expensive machines to filter the,1,8,4,4,MC1R1
The students were learning about the army after school.,5,LC,The,students,were,learning,about,the,army,after,school.,,,,,,,,210,army,7,The students were learning about the army after,3,8,1,4,LC5R3
"My sister enjoys poetry, painting, and other forms of art from the past.",6,HC,My,sister,enjoys,"poetry,","painting,",and,other,forms,of,art,from,the,past.,,,,166,art,10,"My sister enjoys poetry, painting, and other forms of art",2,10,3,4,HC6R2
The accountant put all of the old documents in the attic at home.,11,LC,The,accountant,put,all,of,the,old,documents,in,the,attic,at,home.,,,,171,attic,11,The accountant put all of the old documents in the,1,10,3,4,LC11R1
The lumberjack chopped down the tree with his axe that looked intimidating.,12,HC,The,lumberjack,chopped,down,the,tree,with,his,axe,that,looked,intimidating.,,,,,24,axe,9,The lumberjack chopped down the tree with his axe that,3,10,2,4,HC12R3
"The girl had never danced before, but she wanted to learn ballet from an expert.",16,MC,The,girl,had,never,danced,"before,",but,she,wanted,to,learn,ballet,from,an,expert.,,57,ballet,12,"The girl had never danced before, but she wanted to learn ballet",2,12,3,4,MC16R2
The man used the helium to inflate the red balloon for the child.,18,HC,The,man,used,the,helium,to,inflate,the,red,balloon,for,the,child.,,,,59,balloon,10,The man used the helium to inflate the red,1,9,4,4,HC18R1
"Because of fruit flies, he threw away the banana at breakfast.",22,MC,Because,of,fruit,"flies,",he,threw,away,the,banana,at,breakfast.,,,,,,206,banana,9,"Because of fruit flies, he threw away the banana at",3,10,1,4,MC22R3
"After several rounds of auditions, she never heard back from the band that she admired.",26,LC,After,several,rounds,of,"auditions,",she,never,heard,back,from,the,band,that,she,admired.,,135,band,12,"After several rounds of auditions, she never heard back from the band",2,12,3,4,LC26R2
Our pets sometimes ask us for treats by barking through the night.,28,MC,Our,pets,sometimes,ask,us,for,treats,by,barking,through,the,night.,,,,,51,barking,9,Our pets sometimes ask us for treats by,1,8,4,4,MC28R1
"That weekend, their interior decorator helped them install a bath at home.",32,LC,That,"weekend,",their,interior,decorator,helped,them,install,a,bath,at,home.,,,,,37,bath,10,"That weekend, their interior decorator helped them install a bath at",3,11,1,4,LC32R3
My son saw the bird pecking at the soil using its beak and claws.,33,HC,My,son,saw,the,bird,pecking,at,the,soil,using,its,beak,and,claws.,,,152,beak,12,My son saw the bird pecking at the soil using its beak,2,12,2,4,HC33R2
There was a large pile of dirty towels on the bed in the guestroom.,38,LC,There,was,a,large,pile,of,dirty,towels,on,the,bed,in,the,guestroom.,,,100,bed,11,There was a large pile of dirty towels on the,1,10,4,4,LC38R1
The honey was produced by a hive of bees in the yard.,39,HC,The,honey,was,produced,by,a,hive,of,bees,in,the,yard.,,,,,195,bees,9,The honey was produced by a hive of bees in,3,10,2,4,HC39R3
"To kill all the bacteria, you should add a little bleach to the water.",43,MC,To,kill,all,the,"bacteria,",you,should,add,a,little,bleach,to,the,water.,,,89,bleach,11,"To kill all the bacteria, you should add a little bleach",2,11,3,4,MC43R2
The murderer's knife and clothes were covered in blood from the killings.,45,HC,The,murderer's,knife,and,clothes,were,covered,in,blood,from,the,killings.,,,,,217,blood,9,The murderer's knife and clothes were covered in,1,8,4,4,HC45R1
The weather's been so nice that the plants have started to bloom out back.,49,MC,The,weather's,been,so,nice,that,the,plants,have,started,to,bloom,out,back.,,,175,bloom,12,The weather's been so nice that the plants have started to bloom out,3,13,1,4,MC49R3
Jonathan was shocked that they decided to use the bomb made of TNT.,53,LC,Jonathan,was,shocked,that,they,decided,to,use,the,bomb,made,of,TNT.,,,,65,bomb,10,Jonathan was shocked that they decided to use the bomb,2,10,3,4,LC53R2
The unsuccessful student went to buy a new book at the bookstore.,55,MC,The,unsuccessful,student,went,to,buy,a,new,book,at,the,bookstore.,,,,,75,book,9,The unsuccessful student went to buy a new,1,8,4,4,MC55R1
The kids were scared about trying to cross the border into Texas.,59,LC,The,kids,were,scared,about,trying,to,cross,the,border,into,Texas.,,,,,151,border,10,The kids were scared about trying to cross the border into,3,11,1,4,LC59R3
"Because the work was repetitive, he thought it was boring and dull.",60,HC,Because,the,work,was,"repetitive,",he,thought,it,was,boring,and,dull.,,,,,102,boring,10,"Because the work was repetitive, he thought it was boring",2,10,2,4,HC60R2
"On television, the Olympic athlete picked up his bow and fired.",65,LC,On,"television,",the,Olympic,athlete,picked,up,his,bow,and,fired.,,,,,,162,bow,9,"On television, the Olympic athlete picked up his",1,8,3,4,LC65R1
