words,itemnum,condition,word01,word02,word03,word04,word05,word06,word07,word08,word09,word10,word11,word12,word13,word14,word15,word16,group,critical_word,critical_word_pos,Sentence,RemovalType,WordsKept,WordsRemoved,ListNumber,Code
They suspected there was something wrong with the air outside the building.,2,LC,They,suspected,there,was,something,wrong,with,the,air,outside,the,building.,,,,,176,air,9,They suspected there was something wrong with the,1,8,4,7,LC2R1
The soldier decided to quit the army after school.,3,HC,The,soldier,decided,to,quit,the,army,after,school.,,,,,,,,210,army,7,The soldier decided to quit the army after,3,8,1,7,HC3R3
"Even though she's blind, she appreciates many types of art from the past.",7,MC,Even,though,she's,"blind,",she,appreciates,many,types,of,art,from,the,past.,,,,166,art,10,"Even though she's blind, she appreciates many types of art",2,10,3,7,MC7R2
They stored all of the Halloween decorations up in the attic at home.,9,HC,They,stored,all,of,the,Halloween,decorations,up,in,the,attic,at,home.,,,,171,attic,11,They stored all of the Halloween decorations up in the,1,10,3,7,HC9R1
The man walked into the forest carrying his axe that looked intimidating.,13,MC,The,man,walked,into,the,forest,carrying,his,axe,that,looked,intimidating.,,,,,24,axe,9,The man walked into the forest carrying his axe that,3,10,2,7,MC13R3
The girl was extremely excited that she was going to learn ballet from an expert.,17,LC,The,girl,was,extremely,excited,that,she,was,going,to,learn,ballet,from,an,expert.,,57,ballet,12,The girl was extremely excited that she was going to learn ballet,2,12,3,7,LC17R2
"It was her birthday, so he bought the red balloon for the child.",19,MC,It,was,her,"birthday,",so,he,bought,the,red,balloon,for,the,child.,,,,59,balloon,10,"It was her birthday, so he bought the red",1,9,4,7,MC19R1
My picky younger brother refused to eat the banana at breakfast.,23,LC,My,picky,younger,brother,refused,to,eat,the,banana,at,breakfast.,,,,,,206,banana,9,My picky younger brother refused to eat the banana at,3,10,1,7,LC23R3
"Jenna loved playing the guitar, so she decided to join the band that she admired.",24,HC,Jenna,loved,playing,the,"guitar,",so,she,decided,to,join,the,band,that,she,admired.,,135,band,12,"Jenna loved playing the guitar, so she decided to join the band",2,12,3,7,HC24R2
They knew that Harry kept her awake by barking through the night.,29,LC,They,knew,that,Harry,kept,her,awake,by,barking,through,the,night.,,,,,51,barking,9,They knew that Harry kept her awake by,1,8,4,7,LC29R1
"Instead of a shower, she decided to take a bath at home.",30,HC,Instead,of,a,"shower,",she,decided,to,take,a,bath,at,home.,,,,,37,bath,10,"Instead of a shower, she decided to take a bath at",3,11,1,7,HC30R3
The bald eagle was trying to attack the hunters using its beak and claws.,34,MC,The,bald,eagle,was,trying,to,attack,the,hunters,using,its,beak,and,claws.,,,152,beak,12,The bald eagle was trying to attack the hunters using its beak,2,12,2,7,MC34R2
I asked the maid to change the sheets on the bed in the guestroom.,36,HC,I,asked,the,maid,to,change,the,sheets,on,the,bed,in,the,guestroom.,,,100,bed,11,I asked the maid to change the sheets on the,1,10,4,7,HC36R1
She is deathly allergic to those types of bees in the yard.,40,MC,She,is,deathly,allergic,to,those,types,of,bees,in,the,yard.,,,,,195,bees,9,She is deathly allergic to those types of bees in,3,10,2,7,MC40R3
"To prepare the next sample, you should add a little bleach to the water.",44,LC,To,prepare,the,next,"sample,",you,should,add,a,little,bleach,to,the,water.,,,89,bleach,11,"To prepare the next sample, you should add a little bleach",2,11,3,7,LC44R2
The cafeteria in the prison was covered in blood from the killings.,46,MC,The,cafeteria,in,the,prison,was,covered,in,blood,from,the,killings.,,,,,217,blood,9,The cafeteria in the prison was covered in,1,8,4,7,MC46R1
We started watering the yard because the plants had begun to bloom out back.,50,LC,We,started,watering,the,yard,because,the,plants,had,begun,to,bloom,out,back.,,,175,bloom,12,We started watering the yard because the plants had begun to bloom out,3,13,1,7,LC50R3
"Following his orders, the terrorist threatened to drop the bomb made of TNT.",51,HC,Following,his,"orders,",the,terrorist,threatened,to,drop,the,bomb,made,of,TNT.,,,,65,bomb,10,"Following his orders, the terrorist threatened to drop the bomb",2,10,3,7,HC51R2
The landlord who lived downstairs bought a new book at the bookstore.,56,LC,The,landlord,who,lived,downstairs,bought,a,new,book,at,the,bookstore.,,,,,75,book,9,The landlord who lived downstairs bought a new,1,8,4,7,LC56R1
The immigrant left Mexico and tried to cross the border into Texas.,57,HC,The,immigrant,left,Mexico,and,tried,to,cross,the,border,into,Texas.,,,,,151,border,10,The immigrant left Mexico and tried to cross the border into,3,11,1,7,HC57R3
"He visited the museum, and he thought it was boring and dull.",61,MC,He,visited,the,"museum,",and,he,thought,it,was,boring,and,dull.,,,,,102,boring,10,"He visited the museum, and he thought it was boring",2,10,2,7,MC61R2
The archer pulled back the string of his bow and fired.,63,HC,The,archer,pulled,back,the,string,of,his,bow,and,fired.,,,,,,162,bow,9,The archer pulled back the string of his,1,8,3,7,HC63R1
The waiter accidentally dropped her spoon and her bowl at breakfast time.,67,MC,The,waiter,accidentally,dropped,her,spoon,and,her,bowl,at,breakfast,time.,,,,,39,bowl,9,The waiter accidentally dropped her spoon and her bowl at,3,10,2,7,MC67R3
We were surprised when Maria stepped on the brake all of a sudden.,71,LC,We,were,surprised,when,Maria,stepped,on,the,brake,all,of,a,sudden.,,,,16,brake,9,We were surprised when Maria stepped on the brake,2,9,4,7,LC71R2
Laurence needed some advice before baking his own bread from scratch.,73,MC,Laurence,needed,some,advice,before,baking,his,own,bread,from,scratch.,,,,,,11,bread,9,Laurence needed some advice before baking his own,1,8,3,7,MC73R1
They needed some land to build their own small business in Wichita.,77,LC,They,needed,some,land,to,build,their,own,small,business,in,Wichita.,,,,,105,business,10,They needed some land to build their own small business in,3,11,1,7,LC77R3
The birthday boy didn't want frosting on his slice of cake after all.,78,HC,The,birthday,boy,didn't,want,frosting,on,his,slice,of,cake,after,all.,,,,20,cake,11,The birthday boy didn't want frosting on his slice of cake,2,11,2,7,HC78R2
Bill went to check on the brown calf in the barn.,83,LC,Bill,went,to,check,on,the,brown,calf,in,the,barn.,,,,,,157,calf,8,Bill went to check on the brown,1,7,4,7,LC83R1
The boy scouts hurried back to set up camp after the storm lifted.,84,HC,The,boy,scouts,hurried,back,to,set,up,camp,after,the,storm,lifted.,,,,98,camp,9,The boy scouts hurried back to set up camp after,3,10,3,7,HC84R3
"While touring the factory, Bill sampled several pieces of candy with nuts.",88,MC,While,touring,the,"factory,",Bill,sampled,several,pieces,of,candy,with,nuts.,,,,,158,candy,10,"While touring the factory, Bill sampled several pieces of candy",2,10,2,7,MC88R2
The cashier asked the customer to swipe his card once again.,90,HC,The,cashier,asked,the,customer,to,swipe,his,card,once,again.,,,,,,107,card,9,The cashier asked the customer to swipe his,1,8,3,7,HC90R1
The cook was chopping up the parsley and a carrot that looked wilted.,94,MC,The,cook,was,chopping,up,the,parsley,and,a,carrot,that,looked,wilted.,,,,55,carrot,10,The cook was chopping up the parsley and a carrot that,3,11,2,7,MC94R3
"At work, the assistant needed to find the cart near the tall shelves.",98,LC,At,"work,",the,assistant,needed,to,find,the,cart,near,the,tall,shelves.,,,,30,cart,9,"At work, the assistant needed to find the cart",2,9,4,7,LC98R2
The biologist knew that there were bears living in the cave in the woods.,100,MC,The,biologist,knew,that,there,were,bears,living,in,the,cave,in,the,woods.,,,79,cave,11,The biologist knew that there were bears living in the,1,10,4,7,MC100R1
"In his textbook, there's a drawing of a cell in a living organism.",104,LC,In,his,"textbook,",there's,a,drawing,of,a,cell,in,a,living,organism.,,,,144,cell,9,"In his textbook, there's a drawing of a cell in",3,10,3,7,LC104R3
The teacher walked up to the board and grabbed a piece of chalk at home.,105,HC,The,teacher,walked,up,to,the,board,and,grabbed,a,piece,of,chalk,at,home.,,196,chalk,13,The teacher walked up to the board and grabbed a piece of chalk,2,13,2,7,HC105R2
They were learning another important rule of chess at Victor's house.,110,LC,They,were,learning,another,important,rule,of,chess,at,Victor's,house.,,,,,,213,chess,8,They were learning another important rule of,1,7,4,7,LC110R1
Santa lands on the roof and comes down through the chimney of the house.,111,HC,Santa,lands,on,the,roof,and,comes,down,through,the,chimney,of,the,house.,,,106,chimney,11,Santa lands on the roof and comes down through the chimney of,3,12,2,7,HC111R3
"Every Easter, they heard the church choir in the evening.",115,MC,Every,"Easter,",they,heard,the,church,choir,in,the,evening.,,,,,,,194,choir,7,"Every Easter, they heard the church choir",2,7,3,7,MC115R2
"At storytime, the preschoolers have to sit in a circle on the rug.",117,HC,At,"storytime,",the,preschoolers,have,to,sit,in,a,circle,on,the,rug.,,,,47,circle,10,"At storytime, the preschoolers have to sit in a",1,9,4,7,HC117R1
"In the den, they replaced the battery in the old clock on the wall.",121,MC,In,the,"den,",they,replaced,the,battery,in,the,old,clock,on,the,wall.,,,35,clock,11,"In the den, they replaced the battery in the old clock on",3,12,2,7,MC121R3
The biologist used the microscope to see inside of the cocoon made of silk.,125,LC,The,biologist,used,the,microscope,to,see,inside,of,the,cocoon,made,of,silk.,,,25,cocoon,11,The biologist used the microscope to see inside of the cocoon,2,11,3,7,LC125R2
The customer left without finishing his last sip of coffee at the restaurant.,127,MC,The,customer,left,without,finishing,his,last,sip,of,coffee,at,the,restaurant.,,,,123,coffee,10,The customer left without finishing his last sip of,1,9,4,7,MC127R1
"He was carrying so much stuff in his hands, he dropped the coin in Dallas.",131,LC,He,was,carrying,so,much,stuff,in,his,"hands,",he,dropped,the,coin,in,Dallas.,,190,coin,13,"He was carrying so much stuff in his hands, he dropped the coin in",3,14,1,7,LC131R3
The boy scout navigated using a map and a compass in his bag.,132,HC,The,boy,scout,navigated,using,a,map,and,a,compass,in,his,bag.,,,,173,compass,10,The boy scout navigated using a map and a compass,2,10,3,7,HC132R2
"Before painting, the contractors laid down a tarp on the couch in the den.",137,LC,Before,"painting,",the,contractors,laid,down,a,tarp,on,the,couch,in,the,den.,,,5,couch,11,"Before painting, the contractors laid down a tarp on the",1,10,4,7,LC137R1
Eric sued the taxi driver and took him to court On Tuesday.,138,HC,Eric,sued,the,taxi,driver,and,took,him,to,court,On,Tuesday.,,,,,203,court,10,Eric sued the taxi driver and took him to court On,3,11,1,7,HC138R3
The nuns were praying beside the wooden cross made of oak.,142,MC,The,nuns,were,praying,beside,the,wooden,cross,made,of,oak.,,,,,,169,cross,8,The nuns were praying beside the wooden cross,2,8,3,7,MC142R2
"On the queen's head, the priest placed a golden crown with bright jewels.",144,HC,On,the,queen's,"head,",the,priest,placed,a,golden,crown,with,bright,jewels.,,,,209,crown,10,"On the queen's head, the priest placed a golden",1,9,4,7,HC144R1
This danger is real and there is no known cure for it.,148,MC,This,danger,is,real,and,there,is,no,known,cure,for,it.,,,,,14,cure,10,This danger is real and there is no known cure for,3,11,1,7,MC148R3
The young students learned some interesting facts about the desert in Algeria.,152,LC,The,young,students,learned,some,interesting,facts,about,the,desert,in,Algeria.,,,,,99,desert,10,The young students learned some interesting facts about the desert,2,10,2,7,LC152R2
My friend always kept a large bag of chocolate bars in his desk near the window.,154,MC,My,friend,always,kept,a,large,bag,of,chocolate,bars,in,his,desk,near,the,window.,97,desk,13,My friend always kept a large bag of chocolate bars in his,1,12,4,7,MC154R1
"Before leaving the maternity ward, someone checked the baby's diaper for accidents.",158,LC,Before,leaving,the,maternity,"ward,",someone,checked,the,baby's,diaper,for,accidents.,,,,,177,diaper,10,"Before leaving the maternity ward, someone checked the baby's diaper for",3,11,1,7,LC158R3
"To take her turn at Monopoly, Helen rolled both of the dice last night.",159,HC,To,take,her,turn,at,"Monopoly,",Helen,rolled,both,of,the,dice,last,night.,,,126,dice,12,"To take her turn at Monopoly, Helen rolled both of the dice",2,12,2,7,HC159R2
She had to be interviewed by the lawyer and the doctor at the clinic.,164,LC,She,had,to,be,interviewed,by,the,lawyer,and,the,doctor,at,the,clinic.,,,133,doctor,11,She had to be interviewed by the lawyer and the,1,10,4,7,LC164R1
The bird typically used to symbolize peace is a white dove with outstretched wings.,165,HC,The,bird,typically,used,to,symbolize,peace,is,a,white,dove,with,outstretched,wings.,,,180,dove,11,The bird typically used to symbolize peace is a white dove with,3,12,2,7,HC165R3
"In her bedroom, she was looking for her black dress with sequins.",169,MC,In,her,"bedroom,",she,was,looking,for,her,black,dress,with,sequins.,,,,,128,dress,10,"In her bedroom, she was looking for her black dress",2,10,2,7,MC169R2
He was very thirsty and needed something to drink at the bar.,171,HC,He,was,very,thirsty,and,needed,something,to,drink,at,the,bar.,,,,,153,drink,9,He was very thirsty and needed something to,1,8,4,7,HC171R1
They mortgaged all their land after last year's drought in California.,175,MC,They,mortgaged,all,their,land,after,last,year's,drought,in,California.,,,,,,8,drought,9,They mortgaged all their land after last year's drought in,3,10,1,7,MC175R3
The driver was waiting for the car to dry behind the barn.,179,LC,The,driver,was,waiting,for,the,car,to,dry,behind,the,barn.,,,,,96,dry,9,The driver was waiting for the car to dry,2,9,3,7,LC179R2
"The premiere was starting, and she had nothing to eat while she waited.",181,MC,The,premiere,was,"starting,",and,she,had,nothing,to,eat,while,she,waited.,,,,36,eat,10,"The premiere was starting, and she had nothing to",1,9,4,7,MC181R1
