words,itemnum,condition,word01,word02,word03,word04,word05,word06,word07,word08,word09,word10,word11,word12,word13,word14,word15,word16,group,critical_word,critical_word_pos,Sentence,RemovalType,WordsKept,WordsRemoved,ListNumber,Code
The factory built expensive machines to filter the air outside the building.,1,MC,The,factory,built,expensive,machines,to,filter,the,air,outside,the,building.,,,,,176,air,9,The factory built expensive machines to filter the air,2,9,3,5,MC1R2
The students were learning about the army after school.,5,LC,The,students,were,learning,about,the,army,after,school.,,,,,,,,210,army,7,The students were learning about the,1,6,3,5,LC5R1
"Even though she's blind, she appreciates many types of art from the past.",7,MC,Even,though,she's,"blind,",she,appreciates,many,types,of,art,from,the,past.,,,,166,art,10,"Even though she's blind, she appreciates many types of art from",3,11,2,5,MC7R3
The accountant put all of the old documents in the attic at home.,11,LC,The,accountant,put,all,of,the,old,documents,in,the,attic,at,home.,,,,171,attic,11,The accountant put all of the old documents in the attic,2,11,2,5,LC11R2
The lumberjack chopped down the tree with his axe that looked intimidating.,12,HC,The,lumberjack,chopped,down,the,tree,with,his,axe,that,looked,intimidating.,,,,,24,axe,9,The lumberjack chopped down the tree with his,1,8,4,5,HC12R1
The girl was extremely excited that she was going to learn ballet from an expert.,17,LC,The,girl,was,extremely,excited,that,she,was,going,to,learn,ballet,from,an,expert.,,57,ballet,12,The girl was extremely excited that she was going to learn ballet from,3,13,2,5,LC17R3
The man used the helium to inflate the red balloon for the child.,18,HC,The,man,used,the,helium,to,inflate,the,red,balloon,for,the,child.,,,,59,balloon,10,The man used the helium to inflate the red balloon,2,10,3,5,HC18R2
"Because of fruit flies, he threw away the banana at breakfast.",22,MC,Because,of,fruit,"flies,",he,threw,away,the,banana,at,breakfast.,,,,,,206,banana,9,"Because of fruit flies, he threw away the",1,8,3,5,MC22R1
"Jenna loved playing the guitar, so she decided to join the band that she admired.",24,HC,Jenna,loved,playing,the,"guitar,",so,she,decided,to,join,the,band,that,she,admired.,,135,band,12,"Jenna loved playing the guitar, so she decided to join the band that",3,13,2,5,HC24R3
Our pets sometimes ask us for treats by barking through the night.,28,MC,Our,pets,sometimes,ask,us,for,treats,by,barking,through,the,night.,,,,,51,barking,9,Our pets sometimes ask us for treats by barking,2,9,3,5,MC28R2
"That weekend, their interior decorator helped them install a bath at home.",32,LC,That,"weekend,",their,interior,decorator,helped,them,install,a,bath,at,home.,,,,,37,bath,10,"That weekend, their interior decorator helped them install a",1,9,3,5,LC32R1
The bald eagle was trying to attack the hunters using its beak and claws.,34,MC,The,bald,eagle,was,trying,to,attack,the,hunters,using,its,beak,and,claws.,,,152,beak,12,The bald eagle was trying to attack the hunters using its beak and,3,13,1,5,MC34R3
There was a large pile of dirty towels on the bed in the guestroom.,38,LC,There,was,a,large,pile,of,dirty,towels,on,the,bed,in,the,guestroom.,,,100,bed,11,There was a large pile of dirty towels on the bed,2,11,3,5,LC38R2
The honey was produced by a hive of bees in the yard.,39,HC,The,honey,was,produced,by,a,hive,of,bees,in,the,yard.,,,,,195,bees,9,The honey was produced by a hive of,1,8,4,5,HC39R1
"To prepare the next sample, you should add a little bleach to the water.",44,LC,To,prepare,the,next,"sample,",you,should,add,a,little,bleach,to,the,water.,,,89,bleach,11,"To prepare the next sample, you should add a little bleach to",3,12,2,5,LC44R3
The murderer's knife and clothes were covered in blood from the killings.,45,HC,The,murderer's,knife,and,clothes,were,covered,in,blood,from,the,killings.,,,,,217,blood,9,The murderer's knife and clothes were covered in blood,2,9,3,5,HC45R2
The weather's been so nice that the plants have started to bloom out back.,49,MC,The,weather's,been,so,nice,that,the,plants,have,started,to,bloom,out,back.,,,175,bloom,12,The weather's been so nice that the plants have started to,1,11,3,5,MC49R1
"Following his orders, the terrorist threatened to drop the bomb made of TNT.",51,HC,Following,his,"orders,",the,terrorist,threatened,to,drop,the,bomb,made,of,TNT.,,,,65,bomb,10,"Following his orders, the terrorist threatened to drop the bomb made",3,11,2,5,HC51R3
The unsuccessful student went to buy a new book at the bookstore.,55,MC,The,unsuccessful,student,went,to,buy,a,new,book,at,the,bookstore.,,,,,75,book,9,The unsuccessful student went to buy a new book,2,9,3,5,MC55R2
The kids were scared about trying to cross the border into Texas.,59,LC,The,kids,were,scared,about,trying,to,cross,the,border,into,Texas.,,,,,151,border,10,The kids were scared about trying to cross the,1,9,3,5,LC59R1
"He visited the museum, and he thought it was boring and dull.",61,MC,He,visited,the,"museum,",and,he,thought,it,was,boring,and,dull.,,,,,102,boring,10,"He visited the museum, and he thought it was boring and",3,11,1,5,MC61R3
"On television, the Olympic athlete picked up his bow and fired.",65,LC,On,"television,",the,Olympic,athlete,picked,up,his,bow,and,fired.,,,,,,162,bow,9,"On television, the Olympic athlete picked up his bow",2,9,2,5,LC65R2
Jan poured the milk and cereal into her bowl at breakfast time.,66,HC,Jan,poured,the,milk,and,cereal,into,her,bowl,at,breakfast,time.,,,,,39,bowl,9,Jan poured the milk and cereal into her,1,8,4,5,HC66R1
We were surprised when Maria stepped on the brake all of a sudden.,71,LC,We,were,surprised,when,Maria,stepped,on,the,brake,all,of,a,sudden.,,,,16,brake,9,We were surprised when Maria stepped on the brake all,3,10,3,5,LC71R3
Laurence got some yeast to bake his own bread from scratch.,72,HC,Laurence,got,some,yeast,to,bake,his,own,bread,from,scratch.,,,,,,11,bread,9,Laurence got some yeast to bake his own bread,2,9,2,5,HC72R2
My roommate was hoping to build his own small business in Wichita.,76,MC,My,roommate,was,hoping,to,build,his,own,small,business,in,Wichita.,,,,,105,business,10,My roommate was hoping to build his own small,1,9,3,5,MC76R1
The birthday boy didn't want frosting on his slice of cake after all.,78,HC,The,birthday,boy,didn't,want,frosting,on,his,slice,of,cake,after,all.,,,,20,cake,11,The birthday boy didn't want frosting on his slice of cake after,3,12,1,5,HC78R3
The farmer gave milk to the brown calf in the barn.,82,MC,The,farmer,gave,milk,to,the,brown,calf,in,the,barn.,,,,,,157,calf,8,The farmer gave milk to the brown calf,2,8,3,5,MC82R2
We watched my nephew try to set up camp after the storm lifted.,86,LC,We,watched,my,nephew,try,to,set,up,camp,after,the,storm,lifted.,,,,98,camp,9,We watched my nephew try to set up,1,8,5,5,LC86R1
"While touring the factory, Bill sampled several pieces of candy with nuts.",88,MC,While,touring,the,"factory,",Bill,sampled,several,pieces,of,candy,with,nuts.,,,,,158,candy,10,"While touring the factory, Bill sampled several pieces of candy with",3,11,1,5,MC88R3
"At security, the guards needed to inspect his card once again.",92,LC,At,"security,",the,guards,needed,to,inspect,his,card,once,again.,,,,,,107,card,9,"At security, the guards needed to inspect his card",2,9,2,5,LC92R2
"In the cartoon, Bugs Bunny was munching on a carrot that looked wilted.",93,HC,In,the,"cartoon,",Bugs,Bunny,was,munching,on,a,carrot,that,looked,wilted.,,,,55,carrot,10,"In the cartoon, Bugs Bunny was munching on a",1,9,4,5,HC93R1
"At work, the assistant needed to find the cart near the tall shelves.",98,LC,At,"work,",the,assistant,needed,to,find,the,cart,near,the,tall,shelves.,,,,30,cart,9,"At work, the assistant needed to find the cart near",3,10,3,5,LC98R3
