words,itemnum,condition,word01,word02,word03,word04,word05,word06,word07,word08,word09,word10,word11,word12,word13,word14,word15,word16,group,critical_word,critical_word_pos,Sentence,RemovalType,WordsKept,WordsRemoved,ListNumber,Code
"In polluted cities, you can barely breathe the air outside the building.",0,HC,In,polluted,"cities,",you,can,barely,breathe,the,air,outside,the,building.,,,,,176,air,9,"In polluted cities, you can barely breathe the",1,8,4,1,HC0R1
George chose not to join the army after school.,4,MC,George,chose,not,to,join,the,army,after,school.,,,,,,,,210,army,7,George chose not to join the army after,3,8,1,1,MC4R3
They hired the consultant because of her knowledge of art from the past.,8,LC,They,hired,the,consultant,because,of,her,knowledge,of,art,from,the,past.,,,,166,art,10,They hired the consultant because of her knowledge of art,2,10,3,1,LC8R2
There were a lot of old clothes stored in the attic at home.,10,MC,There,were,a,lot,of,old,clothes,stored,in,the,attic,at,home.,,,,171,attic,11,There were a lot of old clothes stored in the,1,10,3,1,MC10R1
My father scared away the burglars with his axe that looked intimidating.,14,LC,My,father,scared,away,the,burglars,with,his,axe,that,looked,intimidating.,,,,,24,axe,9,My father scared away the burglars with his axe that,3,10,2,1,LC14R3
The girl bought a pink tutu because she wanted to learn ballet from an expert.,15,HC,The,girl,bought,a,pink,tutu,because,she,wanted,to,learn,ballet,from,an,expert.,,57,ballet,12,The girl bought a pink tutu because she wanted to learn ballet,2,12,3,1,HC15R2
The woman at the store was buying the red balloon for the child.,20,LC,The,woman,at,the,store,was,buying,the,red,balloon,for,the,child.,,,,59,balloon,10,The woman at the store was buying the red,1,9,4,1,LC20R1
The hungry monkey was trying to peel the banana at breakfast.,21,HC,The,hungry,monkey,was,trying,to,peel,the,banana,at,breakfast.,,,,,,206,banana,9,The hungry monkey was trying to peel the banana at,3,10,1,1,HC21R3
On her eighteenth birthday her parents got her tickets see the band that she admired.,25,MC,On,her,eighteenth,birthday,her,parents,got,her,tickets,see,the,band,that,she,admired.,,135,band,12,On her eighteenth birthday her parents got her tickets see the band,2,12,3,1,MC25R2
The neighborhood dog always kept her awake by barking through the night.,27,HC,The,neighborhood,dog,always,kept,her,awake,by,barking,through,the,night.,,,,,51,barking,9,The neighborhood dog always kept her awake by,1,8,4,1,HC27R1
"To relax after work, Bill decided to take a bath at home.",31,MC,To,relax,after,"work,",Bill,decided,to,take,a,bath,at,home.,,,,,37,bath,10,"To relax after work, Bill decided to take a bath at",3,11,1,1,MC31R3
The animal in the zoo enclosure was trying to clean its beak and claws.,35,LC,The,animal,in,the,zoo,enclosure,was,trying,to,clean,its,beak,and,claws.,,,152,beak,12,The animal in the zoo enclosure was trying to clean its beak,2,12,2,1,LC35R2
