words,itemnum,condition,word01,word02,word03,word04,word05,word06,word07,word08,word09,word10,word11,word12,word13,word14,word15,word16,group,critical_word,critical_word_pos,Sentence,RemovalType,WordsKept,WordsRemoved,ListNumber,Code
The factory built expensive machines to filter the air outside the building.,1,MC,The,factory,built,expensive,machines,to,filter,the,air,outside,the,building.,,,,,176,air,9,The factory built expensive machines to filter the air outside,3,10,2,6,MC1R3
The soldier decided to quit the army after school.,3,HC,The,soldier,decided,to,quit,the,army,after,school.,,,,,,,,210,army,7,The soldier decided to quit the army,2,7,2,6,HC3R2
"Even though she's blind, she appreciates many types of art from the past.",7,MC,Even,though,she's,"blind,",she,appreciates,many,types,of,art,from,the,past.,,,,166,art,10,"Even though she's blind, she appreciates many types of",1,9,4,6,MC7R1
The accountant put all of the old documents in the attic at home.,11,LC,The,accountant,put,all,of,the,old,documents,in,the,attic,at,home.,,,,171,attic,11,The accountant put all of the old documents in the attic at,3,12,1,6,LC11R3
The man walked into the forest carrying his axe that looked intimidating.,13,MC,The,man,walked,into,the,forest,carrying,his,axe,that,looked,intimidating.,,,,,24,axe,9,The man walked into the forest carrying his axe,2,9,3,6,MC13R2
The girl was extremely excited that she was going to learn ballet from an expert.,17,LC,The,girl,was,extremely,excited,that,she,was,going,to,learn,ballet,from,an,expert.,,57,ballet,12,The girl was extremely excited that she was going to learn,1,11,4,6,LC17R1
The man used the helium to inflate the red balloon for the child.,18,HC,The,man,used,the,helium,to,inflate,the,red,balloon,for,the,child.,,,,59,balloon,10,The man used the helium to inflate the red balloon for,3,11,2,6,HC18R3
My picky younger brother refused to eat the banana at breakfast.,23,LC,My,picky,younger,brother,refused,to,eat,the,banana,at,breakfast.,,,,,,206,banana,9,My picky younger brother refused to eat the banana,2,9,2,6,LC23R2
"Jenna loved playing the guitar, so she decided to join the band that she admired.",24,HC,Jenna,loved,playing,the,"guitar,",so,she,decided,to,join,the,band,that,she,admired.,,135,band,12,"Jenna loved playing the guitar, so she decided to join the",1,11,4,6,HC24R1
Our pets sometimes ask us for treats by barking through the night.,28,MC,Our,pets,sometimes,ask,us,for,treats,by,barking,through,the,night.,,,,,51,barking,9,Our pets sometimes ask us for treats by barking through,3,10,2,6,MC28R3
"Instead of a shower, she decided to take a bath at home.",30,HC,Instead,of,a,"shower,",she,decided,to,take,a,bath,at,home.,,,,,37,bath,10,"Instead of a shower, she decided to take a bath",2,10,2,6,HC30R2
The bald eagle was trying to attack the hunters using its beak and claws.,34,MC,The,bald,eagle,was,trying,to,attack,the,hunters,using,its,beak,and,claws.,,,152,beak,12,The bald eagle was trying to attack the hunters using its,1,11,3,6,MC34R1
There was a large pile of dirty towels on the bed in the guestroom.,38,LC,There,was,a,large,pile,of,dirty,towels,on,the,bed,in,the,guestroom.,,,100,bed,11,There was a large pile of dirty towels on the bed in,3,12,2,6,LC38R3
She is deathly allergic to those types of bees in the yard.,40,MC,She,is,deathly,allergic,to,those,types,of,bees,in,the,yard.,,,,,195,bees,9,She is deathly allergic to those types of bees,2,9,3,6,MC40R2
"To prepare the next sample, you should add a little bleach to the water.",44,LC,To,prepare,the,next,"sample,",you,should,add,a,little,bleach,to,the,water.,,,89,bleach,11,"To prepare the next sample, you should add a little",1,10,4,6,LC44R1
The murderer's knife and clothes were covered in blood from the killings.,45,HC,The,murderer's,knife,and,clothes,were,covered,in,blood,from,the,killings.,,,,,217,blood,9,The murderer's knife and clothes were covered in blood from,3,10,2,6,HC45R3
We started watering the yard because the plants had begun to bloom out back.,50,LC,We,started,watering,the,yard,because,the,plants,had,begun,to,bloom,out,back.,,,175,bloom,12,We started watering the yard because the plants had begun to bloom,2,12,2,6,LC50R2
"Following his orders, the terrorist threatened to drop the bomb made of TNT.",51,HC,Following,his,"orders,",the,terrorist,threatened,to,drop,the,bomb,made,of,TNT.,,,,65,bomb,10,"Following his orders, the terrorist threatened to drop the",1,9,4,6,HC51R1
The unsuccessful student went to buy a new book at the bookstore.,55,MC,The,unsuccessful,student,went,to,buy,a,new,book,at,the,bookstore.,,,,,75,book,9,The unsuccessful student went to buy a new book at,3,10,2,6,MC55R3
The immigrant left Mexico and tried to cross the border into Texas.,57,HC,The,immigrant,left,Mexico,and,tried,to,cross,the,border,into,Texas.,,,,,151,border,10,The immigrant left Mexico and tried to cross the border,2,10,2,6,HC57R2
"He visited the museum, and he thought it was boring and dull.",61,MC,He,visited,the,"museum,",and,he,thought,it,was,boring,and,dull.,,,,,102,boring,10,"He visited the museum, and he thought it was",1,9,3,6,MC61R1
"On television, the Olympic athlete picked up his bow and fired.",65,LC,On,"television,",the,Olympic,athlete,picked,up,his,bow,and,fired.,,,,,,162,bow,9,"On television, the Olympic athlete picked up his bow and",3,10,1,6,LC65R3
The waiter accidentally dropped her spoon and her bowl at breakfast time.,67,MC,The,waiter,accidentally,dropped,her,spoon,and,her,bowl,at,breakfast,time.,,,,,39,bowl,9,The waiter accidentally dropped her spoon and her bowl,2,9,3,6,MC67R2
We were surprised when Maria stepped on the brake all of a sudden.,71,LC,We,were,surprised,when,Maria,stepped,on,the,brake,all,of,a,sudden.,,,,16,brake,9,We were surprised when Maria stepped on the,1,8,5,6,LC71R1
Laurence got some yeast to bake his own bread from scratch.,72,HC,Laurence,got,some,yeast,to,bake,his,own,bread,from,scratch.,,,,,,11,bread,9,Laurence got some yeast to bake his own bread from,3,10,1,6,HC72R3
They needed some land to build their own small business in Wichita.,77,LC,They,needed,some,land,to,build,their,own,small,business,in,Wichita.,,,,,105,business,10,They needed some land to build their own small business,2,10,2,6,LC77R2
The birthday boy didn't want frosting on his slice of cake after all.,78,HC,The,birthday,boy,didn't,want,frosting,on,his,slice,of,cake,after,all.,,,,20,cake,11,The birthday boy didn't want frosting on his slice of,1,10,3,6,HC78R1
The farmer gave milk to the brown calf in the barn.,82,MC,The,farmer,gave,milk,to,the,brown,calf,in,the,barn.,,,,,,157,calf,8,The farmer gave milk to the brown calf in,3,9,2,6,MC82R3
The boy scouts hurried back to set up camp after the storm lifted.,84,HC,The,boy,scouts,hurried,back,to,set,up,camp,after,the,storm,lifted.,,,,98,camp,9,The boy scouts hurried back to set up camp,2,9,4,6,HC84R2
"While touring the factory, Bill sampled several pieces of candy with nuts.",88,MC,While,touring,the,"factory,",Bill,sampled,several,pieces,of,candy,with,nuts.,,,,,158,candy,10,"While touring the factory, Bill sampled several pieces of",1,9,3,6,MC88R1
"At security, the guards needed to inspect his card once again.",92,LC,At,"security,",the,guards,needed,to,inspect,his,card,once,again.,,,,,,107,card,9,"At security, the guards needed to inspect his card once",3,10,1,6,LC92R3
The cook was chopping up the parsley and a carrot that looked wilted.,94,MC,The,cook,was,chopping,up,the,parsley,and,a,carrot,that,looked,wilted.,,,,55,carrot,10,The cook was chopping up the parsley and a carrot,2,10,3,6,MC94R2
"At work, the assistant needed to find the cart near the tall shelves.",98,LC,At,"work,",the,assistant,needed,to,find,the,cart,near,the,tall,shelves.,,,,30,cart,9,"At work, the assistant needed to find the",1,8,5,6,LC98R1
The biologist knew that there were bats living in the cave in the woods.,99,HC,The,biologist,knew,that,there,were,bats,living,in,the,cave,in,the,woods.,,,79,cave,11,The biologist knew that there were bats living in the cave in,3,12,2,6,HC99R3
"In his textbook, there's a drawing of a cell in a living organism.",104,LC,In,his,"textbook,",there's,a,drawing,of,a,cell,in,a,living,organism.,,,,144,cell,9,"In his textbook, there's a drawing of a cell",2,9,4,6,LC104R2
The teacher walked up to the board and grabbed a piece of chalk at home.,105,HC,The,teacher,walked,up,to,the,board,and,grabbed,a,piece,of,chalk,at,home.,,196,chalk,13,The teacher walked up to the board and grabbed a piece of,1,12,3,6,HC105R1
The two Russians played another round of chess at Victor's house.,109,MC,The,two,Russians,played,another,round,of,chess,at,Victor's,house.,,,,,,213,chess,8,The two Russians played another round of chess at,3,9,2,6,MC109R3
Santa lands on the roof and comes down through the chimney of the house.,111,HC,Santa,lands,on,the,roof,and,comes,down,through,the,chimney,of,the,house.,,,106,chimney,11,Santa lands on the roof and comes down through the chimney,2,11,3,6,HC111R2
"Every Easter, they heard the church choir in the evening.",115,MC,Every,"Easter,",they,heard,the,church,choir,in,the,evening.,,,,,,,194,choir,7,"Every Easter, they heard the church",1,6,4,6,MC115R1
All of the fifth-graders had to get in a circle on the rug.,119,LC,All,of,the,fifth-graders,had,to,get,in,a,circle,on,the,rug.,,,,47,circle,10,All of the fifth-graders had to get in a circle on,3,11,2,6,LC119R3
"In the den, they replaced the battery in the old clock on the wall.",121,MC,In,the,"den,",they,replaced,the,battery,in,the,old,clock,on,the,wall.,,,35,clock,11,"In the den, they replaced the battery in the old clock",2,11,3,6,MC121R2
The biologist used the microscope to see inside of the cocoon made of silk.,125,LC,The,biologist,used,the,microscope,to,see,inside,of,the,cocoon,made,of,silk.,,,25,cocoon,11,The biologist used the microscope to see inside of the,1,10,4,6,LC125R1
Melissa asks for decaf when ordering her cup of coffee at the restaurant.,126,HC,Melissa,asks,for,decaf,when,ordering,her,cup,of,coffee,at,the,restaurant.,,,,123,coffee,10,Melissa asks for decaf when ordering her cup of coffee at,3,11,2,6,HC126R3
"He was carrying so much stuff in his hands, he dropped the coin in Dallas.",131,LC,He,was,carrying,so,much,stuff,in,his,"hands,",he,dropped,the,coin,in,Dallas.,,190,coin,13,"He was carrying so much stuff in his hands, he dropped the coin",2,13,2,6,LC131R2
The boy scout navigated using a map and a compass in his bag.,132,HC,The,boy,scout,navigated,using,a,map,and,a,compass,in,his,bag.,,,,173,compass,10,The boy scout navigated using a map and a,1,9,4,6,HC132R1
They were worried that the cat would tear up the couch in the den.,136,MC,They,were,worried,that,the,cat,would,tear,up,the,couch,in,the,den.,,,5,couch,11,They were worried that the cat would tear up the couch in,3,12,2,6,MC136R3
Eric sued the taxi driver and took him to court On Tuesday.,138,HC,Eric,sued,the,taxi,driver,and,took,him,to,court,On,Tuesday.,,,,,203,court,10,Eric sued the taxi driver and took him to court,2,10,2,6,HC138R2
The nuns were praying beside the wooden cross made of oak.,142,MC,The,nuns,were,praying,beside,the,wooden,cross,made,of,oak.,,,,,,169,cross,8,The nuns were praying beside the wooden,1,7,4,6,MC142R1
The merchant paid for the goods with a golden crown with bright jewels.,146,LC,The,merchant,paid,for,the,goods,with,a,golden,crown,with,bright,jewels.,,,,209,crown,10,The merchant paid for the goods with a golden crown with,3,11,2,6,LC146R3
This danger is real and there is no known cure for it.,148,MC,This,danger,is,real,and,there,is,no,known,cure,for,it.,,,,,14,cure,10,This danger is real and there is no known cure,2,10,2,6,MC148R2
The young students learned some interesting facts about the desert in Algeria.,152,LC,The,young,students,learned,some,interesting,facts,about,the,desert,in,Algeria.,,,,,99,desert,10,The young students learned some interesting facts about the,1,9,3,6,LC152R1
"Late at the office, Victor can always be found sitting at his desk near the window.",153,HC,Late,at,the,"office,",Victor,can,always,be,found,sitting,at,his,desk,near,the,window.,97,desk,13,"Late at the office, Victor can always be found sitting at his desk near",3,14,2,6,HC153R3
"Before leaving the maternity ward, someone checked the baby's diaper for accidents.",158,LC,Before,leaving,the,maternity,"ward,",someone,checked,the,baby's,diaper,for,accidents.,,,,,177,diaper,10,"Before leaving the maternity ward, someone checked the baby's diaper",2,10,2,6,LC158R2
"To take her turn at Monopoly, Helen rolled both of the dice last night.",159,HC,To,take,her,turn,at,"Monopoly,",Helen,rolled,both,of,the,dice,last,night.,,,126,dice,12,"To take her turn at Monopoly, Helen rolled both of the",1,11,3,6,HC159R1
The young woman was inspired by the scientist and the doctor at the clinic.,163,MC,The,young,woman,was,inspired,by,the,scientist,and,the,doctor,at,the,clinic.,,,133,doctor,11,The young woman was inspired by the scientist and the doctor at,3,12,2,6,MC163R3
The bird typically used to symbolize peace is a white dove with outstretched wings.,165,HC,The,bird,typically,used,to,symbolize,peace,is,a,white,dove,with,outstretched,wings.,,,180,dove,11,The bird typically used to symbolize peace is a white dove,2,11,3,6,HC165R2
"In her bedroom, she was looking for her black dress with sequins.",169,MC,In,her,"bedroom,",she,was,looking,for,her,black,dress,with,sequins.,,,,,128,dress,10,"In her bedroom, she was looking for her black",1,9,3,6,MC169R1
"When school ended, my friends just wanted to drink at the bar.",173,LC,When,school,"ended,",my,friends,just,wanted,to,drink,at,the,bar.,,,,,153,drink,9,"When school ended, my friends just wanted to drink at",3,10,2,6,LC173R3
They mortgaged all their land after last year's drought in California.,175,MC,They,mortgaged,all,their,land,after,last,year's,drought,in,California.,,,,,,8,drought,9,They mortgaged all their land after last year's drought,2,9,2,6,MC175R2
The driver was waiting for the car to dry behind the barn.,179,LC,The,driver,was,waiting,for,the,car,to,dry,behind,the,barn.,,,,,96,dry,9,The driver was waiting for the car to,1,8,4,6,LC179R1
"Her fridge was empty, and she had nothing to eat while she waited.",180,HC,Her,fridge,was,"empty,",and,she,had,nothing,to,eat,while,she,waited.,,,,36,eat,10,"Her fridge was empty, and she had nothing to eat while",3,11,2,6,HC180R3
The girl was planning to buy some more eggs after sunrise.,185,LC,The,girl,was,planning,to,buy,some,more,eggs,after,sunrise.,,,,,,147,eggs,9,The girl was planning to buy some more eggs,2,9,2,6,LC185R2
The senator campaigned in order to win the election that was weeks away.,186,HC,The,senator,campaigned,in,order,to,win,the,election,that,was,weeks,away.,,,,83,election,9,The senator campaigned in order to win the,1,8,5,6,HC186R1
His children thought the games were made by the elves on Christmas Eve.,190,MC,His,children,thought,the,games,were,made,by,the,elves,on,Christmas,Eve.,,,,197,elves,10,His children thought the games were made by the elves on,3,11,2,6,MC190R3
"Melissa was crying, and we saw tears in her eyes which were bright blue.",192,HC,Melissa,was,"crying,",and,we,saw,tears,in,her,eyes,which,were,bright,blue.,,,10,eyes,10,"Melissa was crying, and we saw tears in her eyes",2,10,4,6,HC192R2
My uncle planted lots of trees on his farm in Pennsylvania.,196,MC,My,uncle,planted,lots,of,trees,on,his,farm,in,Pennsylvania.,,,,,,66,farm,9,My uncle planted lots of trees on his,1,8,3,6,MC196R1
"After he returned home from his travels, Jim became a farmer in his hometown.",200,LC,After,he,returned,home,from,his,"travels,",Jim,became,a,farmer,in,his,hometown.,,,149,farmer,11,"After he returned home from his travels, Jim became a farmer in",3,12,2,6,LC200R3
All the books were stacked on the floor because the boss insisted.,202,MC,All,the,books,were,stacked,on,the,floor,because,the,boss,insisted.,,,,,32,floor,8,All the books were stacked on the floor,2,8,4,6,MC202R2
"At the end of the day, her clothes were covered with flour from the store.",206,LC,At,the,end,of,the,"day,",her,clothes,were,covered,with,flour,from,the,store.,,146,flour,12,"At the end of the day, her clothes were covered with",1,11,4,6,LC206R1
"Pam received a rose, but preferred any other species of flower according to Alan.",207,HC,Pam,received,a,"rose,",but,preferred,any,other,species,of,flower,according,to,Alan.,,,185,flower,11,"Pam received a rose, but preferred any other species of flower according",3,12,2,6,HC207R3
"When he dropped the new toy, it could no longer fly or move around.",212,LC,When,he,dropped,the,new,"toy,",it,could,no,longer,fly,or,move,around.,,,172,fly,11,"When he dropped the new toy, it could no longer fly",2,11,3,6,LC212R2
"The editor, who hates Times New Roman, decided to switch the font of the magazine.",213,HC,The,"editor,",who,hates,Times,New,"Roman,",decided,to,switch,the,font,of,the,magazine.,,181,font,12,"The editor, who hates Times New Roman, decided to switch the",1,11,4,6,HC213R1
The burglar stole the painting but left the elegant frame made of silver.,217,MC,The,burglar,stole,the,painting,but,left,the,elegant,frame,made,of,silver.,,,,150,frame,10,The burglar stole the painting but left the elegant frame made,3,11,2,6,MC217R3
Apples are definitely his favorite type of fruit as well.,219,HC,Apples,are,definitely,his,favorite,type,of,fruit,as,well.,,,,,,,178,fruit,8,Apples are definitely his favorite type of fruit,2,8,2,6,HC219R2
The thirsty police officer could probably drink a gallon in Virginia.,223,MC,The,thirsty,police,officer,could,probably,drink,a,gallon,in,Virginia.,,,,,,122,gallon,9,The thirsty police officer could probably drink a,1,8,3,6,MC223R1
Her mother was adamant that she has to wear glasses in class.,227,LC,Her,mother,was,adamant,that,she,has,to,wear,glasses,in,class.,,,,,44,glasses,10,Her mother was adamant that she has to wear glasses in,3,11,1,6,LC227R3
The trainee used the thick rubber gloves in the hospital.,229,MC,The,trainee,used,the,thick,rubber,gloves,in,the,hospital.,,,,,,,143,gloves,7,The trainee used the thick rubber gloves,2,7,3,6,MC229R2
