words,itemnum,condition,word01,word02,word03,word04,word05,word06,word07,word08,word09,word10,word11,word12,word13,word14,word15,word16,group,critical_word,critical_word_pos,Sentence,RemovalType,WordsKept,WordsRemoved,ListNumber,Code
"In polluted cities, you can barely breathe the air outside the building.",0,HC,In,polluted,"cities,",you,can,barely,breathe,the,air,outside,the,building.,,,,,176,air,9,"In polluted cities, you can barely breathe the air outside",3,10,2,3,HC0R3
The students were learning about the army after school.,5,LC,The,students,were,learning,about,the,army,after,school.,,,,,,,,210,army,7,The students were learning about the army,2,7,2,3,LC5R2
"My sister enjoys poetry, painting, and other forms of art from the past.",6,HC,My,sister,enjoys,"poetry,","painting,",and,other,forms,of,art,from,the,past.,,,,166,art,10,"My sister enjoys poetry, painting, and other forms of",1,9,4,3,HC6R1
There were a lot of old clothes stored in the attic at home.,10,MC,There,were,a,lot,of,old,clothes,stored,in,the,attic,at,home.,,,,171,attic,11,There were a lot of old clothes stored in the attic at,3,12,1,3,MC10R3
The lumberjack chopped down the tree with his axe that looked intimidating.,12,HC,The,lumberjack,chopped,down,the,tree,with,his,axe,that,looked,intimidating.,,,,,24,axe,9,The lumberjack chopped down the tree with his axe,2,9,3,3,HC12R2
"The girl had never danced before, but she wanted to learn ballet from an expert.",16,MC,The,girl,had,never,danced,"before,",but,she,wanted,to,learn,ballet,from,an,expert.,,57,ballet,12,"The girl had never danced before, but she wanted to learn",1,11,4,3,MC16R1
The woman at the store was buying the red balloon for the child.,20,LC,The,woman,at,the,store,was,buying,the,red,balloon,for,the,child.,,,,59,balloon,10,The woman at the store was buying the red balloon for,3,11,2,3,LC20R3
"Because of fruit flies, he threw away the banana at breakfast.",22,MC,Because,of,fruit,"flies,",he,threw,away,the,banana,at,breakfast.,,,,,,206,banana,9,"Because of fruit flies, he threw away the banana",2,9,2,3,MC22R2
"After several rounds of auditions, she never heard back from the band that she admired.",26,LC,After,several,rounds,of,"auditions,",she,never,heard,back,from,the,band,that,she,admired.,,135,band,12,"After several rounds of auditions, she never heard back from the",1,11,4,3,LC26R1
The neighborhood dog always kept her awake by barking through the night.,27,HC,The,neighborhood,dog,always,kept,her,awake,by,barking,through,the,night.,,,,,51,barking,9,The neighborhood dog always kept her awake by barking through,3,10,2,3,HC27R3
