words,itemnum,condition,word01,word02,word03,word04,word05,word06,word07,word08,word09,word10,word11,word12,word13,word14,word15,word16,group,critical_word,critical_word_pos,Sentence,RemovalType,WordsKept,WordsRemoved,ListNumber,Code
They suspected there was something wrong with the air outside the building.,2,LC,They,suspected,there,was,something,wrong,with,the,air,outside,the,building.,,,,,176,air,9,They suspected there was something wrong with the air,2,9,3,8,LC2R2
The soldier decided to quit the army after school.,3,HC,The,soldier,decided,to,quit,the,army,after,school.,,,,,,,,210,army,7,The soldier decided to quit the,1,6,3,8,HC3R1
They hired the consultant because of her knowledge of art from the past.,8,LC,They,hired,the,consultant,because,of,her,knowledge,of,art,from,the,past.,,,,166,art,10,They hired the consultant because of her knowledge of art from,3,11,2,8,LC8R3
They stored all of the Halloween decorations up in the attic at home.,9,HC,They,stored,all,of,the,Halloween,decorations,up,in,the,attic,at,home.,,,,171,attic,11,They stored all of the Halloween decorations up in the attic,2,11,2,8,HC9R2
The man walked into the forest carrying his axe that looked intimidating.,13,MC,The,man,walked,into,the,forest,carrying,his,axe,that,looked,intimidating.,,,,,24,axe,9,The man walked into the forest carrying his,1,8,4,8,MC13R1
The girl bought a pink tutu because she wanted to learn ballet from an expert.,15,HC,The,girl,bought,a,pink,tutu,because,she,wanted,to,learn,ballet,from,an,expert.,,57,ballet,12,The girl bought a pink tutu because she wanted to learn ballet from,3,13,2,8,HC15R3
"It was her birthday, so he bought the red balloon for the child.",19,MC,It,was,her,"birthday,",so,he,bought,the,red,balloon,for,the,child.,,,,59,balloon,10,"It was her birthday, so he bought the red balloon",2,10,3,8,MC19R2
My picky younger brother refused to eat the banana at breakfast.,23,LC,My,picky,younger,brother,refused,to,eat,the,banana,at,breakfast.,,,,,,206,banana,9,My picky younger brother refused to eat the,1,8,3,8,LC23R1
On her eighteenth birthday her parents got her tickets see the band that she admired.,25,MC,On,her,eighteenth,birthday,her,parents,got,her,tickets,see,the,band,that,she,admired.,,135,band,12,On her eighteenth birthday her parents got her tickets see the band that,3,13,2,8,MC25R3
They knew that Harry kept her awake by barking through the night.,29,LC,They,knew,that,Harry,kept,her,awake,by,barking,through,the,night.,,,,,51,barking,9,They knew that Harry kept her awake by barking,2,9,3,8,LC29R2
"Instead of a shower, she decided to take a bath at home.",30,HC,Instead,of,a,"shower,",she,decided,to,take,a,bath,at,home.,,,,,37,bath,10,"Instead of a shower, she decided to take a",1,9,3,8,HC30R1
The animal in the zoo enclosure was trying to clean its beak and claws.,35,LC,The,animal,in,the,zoo,enclosure,was,trying,to,clean,its,beak,and,claws.,,,152,beak,12,The animal in the zoo enclosure was trying to clean its beak and,3,13,1,8,LC35R3
I asked the maid to change the sheets on the bed in the guestroom.,36,HC,I,asked,the,maid,to,change,the,sheets,on,the,bed,in,the,guestroom.,,,100,bed,11,I asked the maid to change the sheets on the bed,2,11,3,8,HC36R2
She is deathly allergic to those types of bees in the yard.,40,MC,She,is,deathly,allergic,to,those,types,of,bees,in,the,yard.,,,,,195,bees,9,She is deathly allergic to those types of,1,8,4,8,MC40R1
"To wash your clothes whiter, you should add a little bleach to the water.",42,HC,To,wash,your,clothes,"whiter,",you,should,add,a,little,bleach,to,the,water.,,,89,bleach,11,"To wash your clothes whiter, you should add a little bleach to",3,12,2,8,HC42R3
The cafeteria in the prison was covered in blood from the killings.,46,MC,The,cafeteria,in,the,prison,was,covered,in,blood,from,the,killings.,,,,,217,blood,9,The cafeteria in the prison was covered in blood,2,9,3,8,MC46R2
We started watering the yard because the plants had begun to bloom out back.,50,LC,We,started,watering,the,yard,because,the,plants,had,begun,to,bloom,out,back.,,,175,bloom,12,We started watering the yard because the plants had begun to,1,11,3,8,LC50R1
"To destroy the building, they decided to use the bomb made of TNT.",52,MC,To,destroy,the,"building,",they,decided,to,use,the,bomb,made,of,TNT.,,,,65,bomb,10,"To destroy the building, they decided to use the bomb made",3,11,2,8,MC52R3
The landlord who lived downstairs bought a new book at the bookstore.,56,LC,The,landlord,who,lived,downstairs,bought,a,new,book,at,the,bookstore.,,,,,75,book,9,The landlord who lived downstairs bought a new book,2,9,3,8,LC56R2
The immigrant left Mexico and tried to cross the border into Texas.,57,HC,The,immigrant,left,Mexico,and,tried,to,cross,the,border,into,Texas.,,,,,151,border,10,The immigrant left Mexico and tried to cross the,1,9,3,8,HC57R1
"He visited the catacombs, and he thought it was boring and dull.",62,LC,He,visited,the,"catacombs,",and,he,thought,it,was,boring,and,dull.,,,,,102,boring,10,"He visited the catacombs, and he thought it was boring and",3,11,1,8,LC62R3
The archer pulled back the string of his bow and fired.,63,HC,The,archer,pulled,back,the,string,of,his,bow,and,fired.,,,,,,162,bow,9,The archer pulled back the string of his bow,2,9,2,8,HC63R2
The waiter accidentally dropped her spoon and her bowl at breakfast time.,67,MC,The,waiter,accidentally,dropped,her,spoon,and,her,bowl,at,breakfast,time.,,,,,39,bowl,9,The waiter accidentally dropped her spoon and her,1,8,4,8,MC67R1
"Instead of the accelerator, Maria stepped on the brake all of a sudden.",69,HC,Instead,of,the,"accelerator,",Maria,stepped,on,the,brake,all,of,a,sudden.,,,,16,brake,9,"Instead of the accelerator, Maria stepped on the brake all",3,10,3,8,HC69R3
Laurence needed some advice before baking his own bread from scratch.,73,MC,Laurence,needed,some,advice,before,baking,his,own,bread,from,scratch.,,,,,,11,bread,9,Laurence needed some advice before baking his own bread,2,9,2,8,MC73R2
They needed some land to build their own small business in Wichita.,77,LC,They,needed,some,land,to,build,their,own,small,business,in,Wichita.,,,,,105,business,10,They needed some land to build their own small,1,9,3,8,LC77R1
The hungry student decided to buy a small piece of cake after all.,79,MC,The,hungry,student,decided,to,buy,a,small,piece,of,cake,after,all.,,,,20,cake,11,The hungry student decided to buy a small piece of cake after,3,12,1,8,MC79R3
Bill went to check on the brown calf in the barn.,83,LC,Bill,went,to,check,on,the,brown,calf,in,the,barn.,,,,,,157,calf,8,Bill went to check on the brown calf,2,8,3,8,LC83R2
The boy scouts hurried back to set up camp after the storm lifted.,84,HC,The,boy,scouts,hurried,back,to,set,up,camp,after,the,storm,lifted.,,,,98,camp,9,The boy scouts hurried back to set up,1,8,5,8,HC84R1
The food scientists were developing a new type of candy with nuts.,89,LC,The,food,scientists,were,developing,a,new,type,of,candy,with,nuts.,,,,,158,candy,10,The food scientists were developing a new type of candy with,3,11,1,8,LC89R3
The cashier asked the customer to swipe his card once again.,90,HC,The,cashier,asked,the,customer,to,swipe,his,card,once,again.,,,,,,107,card,9,The cashier asked the customer to swipe his card,2,9,2,8,HC90R2
The cook was chopping up the parsley and a carrot that looked wilted.,94,MC,The,cook,was,chopping,up,the,parsley,and,a,carrot,that,looked,wilted.,,,,55,carrot,10,The cook was chopping up the parsley and a,1,9,4,8,MC94R1
"At Costco, the toddler wanted to push the cart near the tall shelves.",96,HC,At,"Costco,",the,toddler,wanted,to,push,the,cart,near,the,tall,shelves.,,,,30,cart,9,"At Costco, the toddler wanted to push the cart near",3,10,3,8,HC96R3
The biologist knew that there were bears living in the cave in the woods.,100,MC,The,biologist,knew,that,there,were,bears,living,in,the,cave,in,the,woods.,,,79,cave,11,The biologist knew that there were bears living in the cave,2,11,3,8,MC100R2
"In his textbook, there's a drawing of a cell in a living organism.",104,LC,In,his,"textbook,",there's,a,drawing,of,a,cell,in,a,living,organism.,,,,144,cell,9,"In his textbook, there's a drawing of a",1,8,5,8,LC104R1
"After decades, the instructor decided to switch to a new brand of chalk at home.",106,MC,After,"decades,",the,instructor,decided,to,switch,to,a,new,brand,of,chalk,at,home.,,196,chalk,13,"After decades, the instructor decided to switch to a new brand of chalk at",3,14,1,8,MC106R3
They were learning another important rule of chess at Victor's house.,110,LC,They,were,learning,another,important,rule,of,chess,at,Victor's,house.,,,,,,213,chess,8,They were learning another important rule of chess,2,8,3,8,LC110R2
Santa lands on the roof and comes down through the chimney of the house.,111,HC,Santa,lands,on,the,roof,and,comes,down,through,the,chimney,of,the,house.,,,106,chimney,11,Santa lands on the roof and comes down through the,1,10,4,8,HC111R1
Elizabeth didn't like to attend church choir in the evening.,116,LC,Elizabeth,didn't,like,to,attend,church,choir,in,the,evening.,,,,,,,194,choir,7,Elizabeth didn't like to attend church choir in,3,8,2,8,LC116R3
"At storytime, the preschoolers have to sit in a circle on the rug.",117,HC,At,"storytime,",the,preschoolers,have,to,sit,in,a,circle,on,the,rug.,,,,47,circle,10,"At storytime, the preschoolers have to sit in a circle",2,10,3,8,HC117R2
"In the den, they replaced the battery in the old clock on the wall.",121,MC,In,the,"den,",they,replaced,the,battery,in,the,old,clock,on,the,wall.,,,35,clock,11,"In the den, they replaced the battery in the old",1,10,4,8,MC121R1
"In a few weeks, the butterfly will emerge from the cocoon made of silk.",123,HC,In,a,few,"weeks,",the,butterfly,will,emerge,from,the,cocoon,made,of,silk.,,,25,cocoon,11,"In a few weeks, the butterfly will emerge from the cocoon made",3,12,2,8,HC123R3
The customer left without finishing his last sip of coffee at the restaurant.,127,MC,The,customer,left,without,finishing,his,last,sip,of,coffee,at,the,restaurant.,,,,123,coffee,10,The customer left without finishing his last sip of coffee,2,10,3,8,MC127R2
"He was carrying so much stuff in his hands, he dropped the coin in Dallas.",131,LC,He,was,carrying,so,much,stuff,in,his,"hands,",he,dropped,the,coin,in,Dallas.,,190,coin,13,"He was carrying so much stuff in his hands, he dropped the",1,12,3,8,LC131R1
My brother always carried a pocket knife and a compass in his bag.,133,MC,My,brother,always,carried,a,pocket,knife,and,a,compass,in,his,bag.,,,,173,compass,10,My brother always carried a pocket knife and a compass in,3,11,2,8,MC133R3
"Before painting, the contractors laid down a tarp on the couch in the den.",137,LC,Before,"painting,",the,contractors,laid,down,a,tarp,on,the,couch,in,the,den.,,,5,couch,11,"Before painting, the contractors laid down a tarp on the couch",2,11,3,8,LC137R2
Eric sued the taxi driver and took him to court On Tuesday.,138,HC,Eric,sued,the,taxi,driver,and,took,him,to,court,On,Tuesday.,,,,,203,court,10,Eric sued the taxi driver and took him to,1,9,3,8,HC138R1
"In the gallery, there was a wooden cross made of oak.",143,LC,In,the,"gallery,",there,was,a,wooden,cross,made,of,oak.,,,,,,169,cross,8,"In the gallery, there was a wooden cross made",3,9,2,8,LC143R3
"On the queen's head, the priest placed a golden crown with bright jewels.",144,HC,On,the,queen's,"head,",the,priest,placed,a,golden,crown,with,bright,jewels.,,,,209,crown,10,"On the queen's head, the priest placed a golden crown",2,10,3,8,HC144R2
This danger is real and there is no known cure for it.,148,MC,This,danger,is,real,and,there,is,no,known,cure,for,it.,,,,,14,cure,10,This danger is real and there is no known,1,9,3,8,MC148R1
Camels can travel across the hot sands of the desert in Algeria.,150,HC,Camels,can,travel,across,the,hot,sands,of,the,desert,in,Algeria.,,,,,99,desert,10,Camels can travel across the hot sands of the desert in,3,11,1,8,HC150R3
My friend always kept a large bag of chocolate bars in his desk near the window.,154,MC,My,friend,always,kept,a,large,bag,of,chocolate,bars,in,his,desk,near,the,window.,97,desk,13,My friend always kept a large bag of chocolate bars in his desk,2,13,3,8,MC154R2
"Before leaving the maternity ward, someone checked the baby's diaper for accidents.",158,LC,Before,leaving,the,maternity,"ward,",someone,checked,the,baby's,diaper,for,accidents.,,,,,177,diaper,10,"Before leaving the maternity ward, someone checked the baby's",1,9,3,8,LC158R1
"They weren't able to play Monopoly, because they had lost the dice last night.",160,MC,They,weren't,able,to,play,"Monopoly,",because,they,had,lost,the,dice,last,night.,,,126,dice,12,"They weren't able to play Monopoly, because they had lost the dice last",3,13,1,8,MC160R3
