words,itemnum,condition,word01,word02,word03,word04,word05,word06,word07,word08,word09,word10,word11,word12,word13,word14,word15,word16,group,critical_word,critical_word_pos,Sentence,RemovalType,WordsKept,WordsRemoved,ListNumber,Code
They suspected there was something wrong with the air outside the building.,2,LC,They,suspected,there,was,something,wrong,with,the,air,outside,the,building.,,,,,176,air,9,They suspected there was something wrong with the air outside,3,10,2,9,LC2R3
George chose not to join the army after school.,4,MC,George,chose,not,to,join,the,army,after,school.,,,,,,,,210,army,7,George chose not to join the army,2,7,2,9,MC4R2
They hired the consultant because of her knowledge of art from the past.,8,LC,They,hired,the,consultant,because,of,her,knowledge,of,art,from,the,past.,,,,166,art,10,They hired the consultant because of her knowledge of,1,9,4,9,LC8R1
They stored all of the Halloween decorations up in the attic at home.,9,HC,They,stored,all,of,the,Halloween,decorations,up,in,the,attic,at,home.,,,,171,attic,11,They stored all of the Halloween decorations up in the attic at,3,12,1,9,HC9R3
My father scared away the burglars with his axe that looked intimidating.,14,LC,My,father,scared,away,the,burglars,with,his,axe,that,looked,intimidating.,,,,,24,axe,9,My father scared away the burglars with his axe,2,9,3,9,LC14R2
The girl bought a pink tutu because she wanted to learn ballet from an expert.,15,HC,The,girl,bought,a,pink,tutu,because,she,wanted,to,learn,ballet,from,an,expert.,,57,ballet,12,The girl bought a pink tutu because she wanted to learn,1,11,4,9,HC15R1
"It was her birthday, so he bought the red balloon for the child.",19,MC,It,was,her,"birthday,",so,he,bought,the,red,balloon,for,the,child.,,,,59,balloon,10,"It was her birthday, so he bought the red balloon for",3,11,2,9,MC19R3
The hungry monkey was trying to peel the banana at breakfast.,21,HC,The,hungry,monkey,was,trying,to,peel,the,banana,at,breakfast.,,,,,,206,banana,9,The hungry monkey was trying to peel the banana,2,9,2,9,HC21R2
On her eighteenth birthday her parents got her tickets see the band that she admired.,25,MC,On,her,eighteenth,birthday,her,parents,got,her,tickets,see,the,band,that,she,admired.,,135,band,12,On her eighteenth birthday her parents got her tickets see the,1,11,4,9,MC25R1
They knew that Harry kept her awake by barking through the night.,29,LC,They,knew,that,Harry,kept,her,awake,by,barking,through,the,night.,,,,,51,barking,9,They knew that Harry kept her awake by barking through,3,10,2,9,LC29R3
"To relax after work, Bill decided to take a bath at home.",31,MC,To,relax,after,"work,",Bill,decided,to,take,a,bath,at,home.,,,,,37,bath,10,"To relax after work, Bill decided to take a bath",2,10,2,9,MC31R2
