Cloze,Sentence,Question,Right,Wrong,Item
H,Lauren turned on the TV and flopped down on the couch in the den.,Where was the couch?,den,living room,1
H,To see the exotic animals we took the children to the zoo in San Diego.,Where was the zoo?,San Diego,San Fransisco,2
H,After cutting down the tree all that was left was a stump beside the fence.,What was beside the fence?,a stump,a beehive,3
H,The lake had dried up after last year's drought in California.,What happened in California?,drought,earthquake,4
H,They didn't rent the apartment because the kitchen was too small and unimpressive.,What was wrong with it?,too small,too expensive,5
H,Melissa was crying and we saw tears in her eyes which were bright blue.,What was blue?,eyes,boat,6
H,Laurence got some yeast to bake his own bread from scratch.,Who was making bread?,Laurence,Brenda,7
H,I had to go inside because the jackhammer was very loud and annoying.,What did he think of the jackhammer?,very loud,very efficient,8
H,She brought an umbrella to protect her from the rain and sleet.,Was the weather nice?,no,yes,9
H,The disease is fatal as there is no known cure for it.,Do they have a cure?,no,yes,10
H,The parents of the awarded athlete felt very proud of his hard work.,Did they feel proud?,yes,no,11
H,Instead of the accelerator Maria stepped on the brake all of a sudden.,What did she step on?,brake,gas,12
H,The politician stood at the podium and gave a long speech about slavery.,What was the speech about?,slavery,the economy,13
H,The passwords were stolen by a brilliant hacker living in San Bernardino.,Who stole the passwords?,the hacker,the experts,14
H,There's no need to lie you can tell me the truth about Sarah.,,,,15
H,The birthday boy didn't want frosting on his slice of cake after all.,,,,16
H,He didn't eat breakfast and he forgot to pack his lunch and his thermos.,,,,17
H,Ben was great at remembering numbers because he had a good memory since childhood.,,,,18
H,In the story the wolf chased the three little pigs behind the house.,,,,19
H,The lumberjack chopped down the tree with his axe that looked intimidating.,,,,20
H,In a few weeks the butterfly will emerge from the cocoon made of silk.,,,,21
H,On the plane Timmy went up to the cockpit to meet the pilot and copilot.,,,,22
H,The hot pan was bubbling on the stove in the kitchen.,,,,23
H,He bought the lettuce and croutons to make a salad for everyone.,,,,24
H,I smoothed out the wrinkled pants with the new iron in the bedroom.,,,,25
H,At Costco the toddler wanted to push the cart near the tall shelves.,,,,26
H,On the mashed potatoes she poured a delicious gravy that tastes great.,,,,27
H,Before mopping he had to sweep the floor because the boss insisted.,,,,28
H,The dairy cow produced a lot of milk that looks fresh.,,,,29
H,The burgers were messy so he made sure to grab a napkin made of linen.,,,,30
H,Above the doorway he heard the ticking of the old clock on the wall.,,,,31
H,Her fridge was empty and she had nothing to eat while she waited.,,,,32
H,Instead of a shower she decided to take a bath at home.,,,,33
H,The tennis player firmly gripped the handle of his racket and swung.,,,,34
H,Jan poured the milk and cereal into her bowl at breakfast time.,,,,35
H,At the ice cream shop Jen asked for both chocolate and vanilla which is his favorite.,,,,36
H,Ben unloaded the bags of cement from the back of the truck in the garage.,,,,37
H,The swimmer was attacked by a great white shark in the ocean.,,,,38
H,The wide highway downtown has more than six lanes of traffic.,,,,39
H,Her vision was terrible and she has to wear glasses in class.,,,,40
H,When the paramedic arrived he checked the victim's wrist for a pulse and called 911.,,,,41
H,The wind couldn't push the boat because it had a tear in the sail apparently.,,,,42
H,At storytime the preschoolers have to sit in a circle together.,,,,43
H,It could cut easily because the blade was very sharp at the end.,,,,44
H,When the company sued him he decided to hire a lawyer right away.,,,,45
H,Lines of longitude go from the north to the south I think.,,,,46
H,The neighborhood dog always kept her awake by barking through the night.,,,,47
H,The tooth fairy was supposed to leave money under her pillow in the bedroom.,,,,48
H,Before the weight lifting tournament he needed to build some muscle real fast.,,,,49
H,The volleyball shot barely made it over the net in the high school gym.,,,,50
H,In the cartoon Bugs Bunny was munching on a carrot that looked wilted.,,,,51
H,The kitten was playing with a ball of yarn at the market.,,,,52
H,The girl bought a pink tutu because she wanted to learn ballet from an expert.,,,,53
H,To educate the children they built a new school by the river.,,,,54
H,The man used the helium to inflate the red balloon for the child.,,,,55
H,At the vineyard he bought a fancy bottle of wine from France.,,,,56
H,To make sushi she carefully boiled the grains of rice on the counter.,,,,57
H,The airport was crowded and the passengers couldn't board the plane on the runway.,,,,58
H,He couldn't reach the high shelf because he was very short for his age.,,,,59
H,The web had been spun by the large spider on our porch.,,,,60
H,Following his orders the terrorist threatened to drop the bomb made of TNT.,,,,61
H,Old McDonald had plenty of animals on his farm in Pennsylvania.,,,,62
H,The child couldn't carry the luggage because it was too heavy and bulky.,,,,63
H,The bride refused to invite her father to the wedding for some reason.,,,,64
H,Susan forgot to put a period at the end of the sentence in the essay.,,,,65
H,It was dark in the bedroom so she turned on the light in the corner.,,,,66
H,The tiny maple sapling has grown into a large tree in the front yard.,,,,67
H,The student opened his notebook and pulled out a piece of paper for taking notes.,,,,68
H,He gathered the leaves into a pile using a rake earlier this afternoon.,,,,69
H,To read the prophecy he unrolled the ancient scroll from Germany.,,,,70
H,The author signed a copy of her new book at the bookstore.,,,,71
H,The referee was blowing on his whistle during the soccer game.,,,,72
M,The king remembered that he had one final wish from the lamp.,How many wishes did he have left?,one,three,73
M,For Halloween that year she decided to dress up as a witch after all.,What costume did she choose?,a witch,a mermaid,74
M,The biologist knew that there were bears living in the cave in the woods.,Where was the cave?,in the woods,beside the cliff,75
M,Our mother told my sister to always clean her teeth before bedtime.,What did my sister need to work on?,her oral hygiene,her science project,76
M,My husband was flipping the pancakes and I was pouring the juice at breakfast.,When did it happen?,breakfast,dinner,77
M,He had difficulty speaking because he had a broken tooth that was infected.,How pleasant was it?,not pleasant,very pleasant,78
M,The senator's wife was very angry about the election that was weeks away.,Was the election over?,no,yes,79
M,That weekend Brian got a nice looking haircut with clean lines.,Who got a nice haircut?,Brian,Pam,80
M,When Peter's dark secret was discovered everyone knew he was a liar with real issues.,Who had serious issues?,Peter,Brenda,81
M,Jack remembered that he left something in the oven at home.,Where did he leave it?,oven,counter,82
M,In countries with strict religious codes women aren't allowed to vote for some reason.,What can't they do?,vote,drink,83
M,The doctor said I have something stuck in my throat which is uncomfortable.,What's bothering him?,his throat,his tongue,84
M,To kill all the bacteria you should add a little bleach to the water.,What do you need to add?,bleach,detergent,85
M,The skilled cave explorer remembered to bring his flashlight and a rope made of nylon.,What was the rope made of?,nylon,hemp,86
